roundNumber,opponentMove,predictedMove,botMove,result,modelUsed,predictionCorrect,decisionLatencyMs,timestamp
1,rock,scissors,rock,tie,cold-start,False,0.0094,1787898695468
2,paper,rock,scissors,lose,cold-start,False,0.0188,1787898695568
3,scissors,rock,scissors,tie,cold-start,False,0.0047,1787898695668
4,rock,rock,rock,tie,cold-start,True,0.0036,1787898695768
5,paper,paper,scissors,lose,cold-start,True,0.0034,1787898695868
6,scissors,scissors,paper,win,cold-start,True,0.005,1787898695968
7,rock,rock,rock,tie,cold-start,True,0.0046,1787898696068
8,paper,paper,rock,win,cold-start,True,0.0044,1787898696168
9,scissors,scissors,scissors,tie,cold-start,True,0.0045,1787898696268
10,rock,rock,paper,lose,cold-start,True,0.0048,1787898696368
11,paper,paper,scissors,lose,order-1,True,0.0067,1787898696468
12,scissors,scissors,rock,lose,order-2,True,0.0042,1787898696568
13,rock,rock,paper,lose,order-2,True,0.0033,1787898696668
14,paper,paper,scissors,lose,order-1,True,0.0032,1787898696768
15,scissors,scissors,rock,lose,order-2,True,0.0031,1787898696868
16,rock,rock,paper,lose,order-2,True,0.0048,1787898696968
17,paper,paper,scissors,lose,order-1,True,0.0032,1787898697068
18,scissors,scissors,rock,lose,order-2,True,0.0027,1787898697168
19,rock,rock,paper,lose,order-2,True,0.0028,1787898697268
20,paper,paper,scissors,lose,random,True,0.0059,1787898697368
21,scissors,scissors,rock,lose,order-2,True,0.0051,1787898697468
22,rock,rock,paper,lose,order-2,True,0.0056,1787898697568
23,paper,paper,scissors,lose,order-1,True,0.0049,1787898697668
24,scissors,scissors,rock,lose,order-2,True,0.0064,1787898697768
25,rock,rock,paper,lose,order-2,True,0.0047,1787898697868
26,paper,paper,paper,tie,random,True,0.0064,1787898697968
27,scissors,scissors,rock,lose,order-2,True,0.0036,1787898698068
28,rock,rock,paper,lose,order-2,True,0.003,1787898698168
29,paper,paper,scissors,lose,order-1,True,0.0031,1787898698268
30,scissors,scissors,rock,lose,order-2,True,0.0029,1787898698368
31,rock,rock,paper,lose,order-2,True,0.0028,1787898698468
32,paper,paper,scissors,lose,order-1,True,0.0029,1787898698568
33,scissors,scissors,rock,lose,order-2,True,0.0046,1787898698668
34,rock,rock,paper,lose,order-2,True,0.0046,1787898698768
35,paper,paper,scissors,lose,order-1,True,0.0045,1787898698868
36,scissors,scissors,rock,lose,order-2,True,0.0046,1787898698968
37,rock,rock,paper,lose,order-2,True,0.0047,1787898699069
38,paper,paper,scissors,lose,order-1,True,0.0031,1787898699169
39,scissors,scissors,rock,lose,order-2,True,0.0029,1787898699269
40,rock,rock,paper,lose,order-2,True,0.0035,1787898699369
41,paper,paper,scissors,lose,order-1,True,0.0029,1787898699469
42,scissors,scissors,rock,lose,order-2,True,0.003,1787898699569
43,rock,rock,paper,lose,order-2,True,0.0029,1787898699669
44,paper,paper,scissors,lose,order-1,True,0.0027,1787898699769
45,scissors,scissors,rock,lose,order-2,True,0.003,1787898699869
46,rock,rock,paper,lose,order-2,True,0.0028,1787898699969
47,paper,paper,scissors,lose,order-1,True,0.0026,1787898700069
48,scissors,scissors,rock,lose,order-2,True,0.0031,1787898700169
49,rock,rock,paper,lose,order-2,True,0.0026,1787898700269
50,paper,paper,scissors,lose,order-1,True,0.0027,1787898700369
51,scissors,scissors,rock,lose,order-2,True,0.0028,1787898700469
52,rock,rock,rock,tie,random,True,0.0033,1787898700569
53,paper,paper,scissors,lose,order-1,True,0.0028,1787898700669
54,scissors,scissors,rock,lose,order-2,True,0.0045,1787898700769
55,rock,rock,paper,lose,order-2,True,0.0047,1787898700869
56,paper,paper,scissors,lose,order-1,True,0.0029,1787898700969
57,scissors,scissors,rock,lose,order-2,True,0.0029,1787898701069
58,rock,rock,paper,lose,random,True,0.003,1787898701169
59,paper,paper,scissors,lose,order-1,True,0.0028,1787898701269
60,scissors,scissors,rock,lose,order-2,True,0.0029,1787898701369
61,rock,rock,paper,lose,order-2,True,0.0027,1787898701469
62,paper,paper,scissors,lose,order-1,True,0.0027,1787898701569
63,scissors,scissors,rock,lose,order-2,True,0.0026,1787898701669
64,rock,rock,paper,lose,order-2,True,0.0027,1787898701769
65,paper,paper,scissors,lose,order-1,True,0.0027,1787898701869
66,scissors,scissors,rock,lose,random,True,0.0032,1787898701969
67,rock,rock,paper,lose,order-2,True,0.003,1787898702069
68,paper,paper,scissors,lose,order-1,True,0.0028,1787898702169
69,scissors,scissors,rock,lose,order-2,True,0.0029,1787898702269
70,rock,rock,paper,lose,order-2,True,0.0028,1787898702369
71,paper,paper,scissors,lose,order-1,True,0.0028,1787898702469
72,scissors,scissors,rock,lose,order-2,True,0.0027,1787898702569
73,rock,rock,paper,lose,order-2,True,0.0026,1787898702669
74,paper,paper,scissors,lose,order-1,True,0.0027,1787898702769
75,scissors,scissors,rock,lose,order-2,True,0.0029,1787898702869
76,rock,rock,scissors,win,random,True,0.0038,1787898702969
77,paper,paper,scissors,lose,order-1,True,0.0028,1787898703069
78,scissors,scissors,rock,lose,order-2,True,0.003,1787898703169
79,rock,rock,paper,lose,order-2,True,0.0028,1787898703269
80,paper,paper,scissors,lose,order-1,True,0.0027,1787898703369
81,scissors,scissors,rock,lose,random,True,0.003,1787898703469
82,rock,rock,paper,lose,order-2,True,0.0031,1787898703569
83,paper,paper,scissors,lose,order-1,True,0.0028,1787898703669
84,scissors,scissors,rock,lose,order-2,True,0.0027,1787898703769
85,rock,rock,paper,lose,order-2,True,0.0028,1787898703869
86,paper,paper,scissors,lose,order-1,True,0.0032,1787898703969
87,scissors,scissors,rock,lose,order-2,True,0.003,1787898704069
88,rock,rock,paper,lose,order-2,True,0.0028,1787898704169
89,paper,paper,paper,tie,random,True,0.0029,1787898704269
90,scissors,scissors,paper,win,random,True,0.003,1787898704369
91,rock,rock,paper,lose,order-2,True,0.0028,1787898704469
92,paper,paper,scissors,lose,order-1,True,0.0028,1787898704569
93,scissors,scissors,rock,lose,order-2,True,0.0028,1787898704669
94,rock,rock,paper,lose,order-2,True,0.0032,1787898704769
95,paper,paper,scissors,lose,order-1,True,0.0029,1787898704869
96,scissors,scissors,rock,lose,order-2,True,0.0027,1787898704969
97,rock,rock,paper,lose,order-2,True,0.0028,1787898705069
98,paper,paper,rock,win,random,True,0.0029,1787898705169
99,scissors,scissors,rock,lose,order-2,True,0.0027,1787898705269
100,rock,rock,paper,lose,order-2,True,0.0027,1787898705369
101,paper,paper,scissors,lose,order-1,True,0.0045,1787898705469
102,scissors,scissors,rock,lose,order-2,True,0.0049,1787898705569
103,rock,rock,paper,lose,order-2,True,0.0043,1787898705669
104,paper,paper,scissors,lose,order-1,True,0.0044,1787898705769
105,scissors,scissors,rock,lose,order-2,True,0.0029,1787898705869
106,rock,rock,paper,lose,order-2,True,0.0027,1787898705969
107,paper,paper,scissors,lose,order-1,True,0.0027,1787898706069
108,scissors,scissors,rock,lose,order-2,True,0.0028,1787898706169
109,rock,rock,paper,lose,order-2,True,0.0028,1787898706269
110,paper,paper,scissors,lose,order-1,True,0.0027,1787898706369
111,scissors,scissors,rock,lose,order-2,True,0.0027,1787898706469
112,rock,rock,paper,lose,order-2,True,0.0028,1787898706569
113,paper,paper,scissors,lose,order-1,True,0.0026,1787898706669
114,scissors,scissors,rock,lose,order-2,True,0.0027,1787898706769
115,rock,rock,paper,lose,order-2,True,0.0027,1787898706869
116,paper,paper,scissors,lose,order-1,True,0.0027,1787898706969
117,scissors,scissors,rock,lose,order-2,True,0.0029,1787898707069
118,rock,rock,paper,lose,order-2,True,0.0027,1787898707169
119,paper,paper,scissors,lose,order-1,True,0.003,1787898707269
120,scissors,scissors,rock,lose,order-2,True,0.0027,1787898707369
121,rock,rock,scissors,win,random,True,0.0032,1787898707469
122,paper,paper,scissors,lose,order-1,True,0.0029,1787898707569
123,scissors,scissors,rock,lose,order-2,True,0.0029,1787898707669
124,rock,rock,paper,lose,order-2,True,0.003,1787898707769
125,paper,paper,scissors,lose,order-1,True,0.0027,1787898707869
126,scissors,scissors,rock,lose,order-2,True,0.0028,1787898707969
127,rock,rock,paper,lose,order-2,True,0.0028,1787898708069
128,paper,paper,scissors,lose,order-1,True,0.0026,1787898708169
129,scissors,scissors,rock,lose,order-2,True,0.0028,1787898708269
130,rock,rock,paper,lose,order-2,True,0.0029,1787898708369
131,paper,paper,scissors,lose,order-1,True,0.0027,1787898708469
132,scissors,scissors,rock,lose,order-2,True,0.0029,1787898708569
133,rock,rock,paper,lose,order-2,True,0.003,1787898708669
134,paper,paper,scissors,lose,order-1,True,0.0028,1787898708770
135,scissors,scissors,scissors,tie,random,True,0.0031,1787898708870
136,rock,rock,paper,lose,order-2,True,0.0034,1787898708970
137,paper,paper,scissors,lose,order-1,True,0.0028,1787898709070
138,scissors,scissors,rock,lose,order-2,True,0.0027,1787898709170
139,rock,rock,paper,lose,random,True,0.0035,1787898709270
140,paper,paper,scissors,lose,order-1,True,0.0052,1787898709370
141,scissors,scissors,rock,lose,order-2,True,0.0043,1787898709470
142,rock,rock,paper,lose,order-2,True,0.0047,1787898709570
143,paper,paper,scissors,lose,order-1,True,0.004,1787898709670
144,scissors,scissors,rock,lose,order-2,True,0.0042,1787898709770
145,rock,rock,paper,lose,order-2,True,0.0045,1787898709870
146,paper,paper,scissors,lose,order-1,True,0.0114,1787898709970
147,scissors,scissors,rock,lose,order-2,True,0.0063,1787898710070
148,rock,rock,paper,lose,order-2,True,0.005,1787898710170
149,paper,paper,scissors,lose,order-1,True,0.0046,1787898710270
150,scissors,scissors,rock,lose,order-2,True,0.0045,1787898710370
151,rock,rock,paper,lose,order-2,True,0.0044,1787898710470
152,paper,paper,scissors,lose,order-1,True,0.0041,1787898710570
153,scissors,scissors,rock,lose,order-2,True,0.0044,1787898710670
154,rock,rock,paper,lose,random,True,0.0058,1787898710770
155,paper,paper,scissors,lose,order-1,True,0.0491,1787898710870
156,scissors,scissors,rock,lose,order-2,True,0.0095,1787898710970
157,rock,rock,paper,lose,order-2,True,0.0053,1787898711070
158,paper,paper,scissors,lose,order-1,True,0.0076,1787898711170
159,scissors,scissors,rock,lose,order-2,True,0.0077,1787898711270
160,rock,rock,paper,lose,order-2,True,0.0052,1787898711370
161,paper,paper,scissors,lose,order-1,True,0.0062,1787898711470
162,scissors,scissors,rock,lose,order-2,True,0.0067,1787898711570
163,rock,rock,paper,lose,order-2,True,0.0118,1787898711670
164,paper,paper,scissors,lose,order-1,True,0.0465,1787898711770
165,scissors,scissors,rock,lose,order-2,True,0.0078,1787898711870
166,rock,rock,paper,lose,order-2,True,0.0056,1787898711971
167,paper,paper,scissors,lose,order-1,True,0.0046,1787898712071
168,scissors,scissors,rock,lose,order-2,True,0.0042,1787898712171
169,rock,rock,paper,lose,order-2,True,0.0069,1787898712271
170,paper,paper,scissors,lose,order-1,True,0.0053,1787898712371
171,scissors,scissors,rock,lose,order-2,True,0.0044,1787898712471
172,rock,rock,paper,lose,random,True,0.0079,1787898712571
173,paper,paper,scissors,lose,order-1,True,0.0056,1787898712671
174,scissors,scissors,rock,lose,order-2,True,0.0051,1787898712771
175,rock,rock,paper,lose,order-2,True,0.0054,1787898712871
176,paper,paper,rock,win,random,True,0.0097,1787898712971
177,scissors,scissors,rock,lose,order-2,True,0.0063,1787898713071
178,rock,rock,paper,lose,order-2,True,0.0052,1787898713171
179,paper,paper,scissors,lose,order-1,True,0.0042,1787898713271
180,scissors,scissors,rock,lose,random,True,0.0053,1787898713371
181,rock,rock,paper,lose,order-2,True,0.0044,1787898713471
182,paper,paper,scissors,lose,order-1,True,0.0059,1787898713571
183,scissors,scissors,rock,lose,order-2,True,0.0049,1787898713671
184,rock,rock,paper,lose,order-2,True,0.0045,1787898713771
185,paper,paper,rock,win,random,True,0.0047,1787898713871
186,scissors,scissors,rock,lose,order-2,True,0.0051,1787898713971
187,rock,rock,paper,lose,order-2,True,0.005,1787898714071
188,paper,paper,scissors,lose,order-1,True,0.0049,1787898714171
189,scissors,scissors,rock,lose,order-2,True,0.0043,1787898714271
190,rock,rock,paper,lose,order-2,True,0.0047,1787898714371
191,paper,paper,scissors,lose,order-1,True,0.0046,1787898714471
192,scissors,scissors,rock,lose,order-2,True,0.0089,1787898714571
193,rock,rock,paper,lose,order-2,True,0.0043,1787898714671
194,paper,paper,scissors,lose,order-1,True,0.0042,1787898714771
195,scissors,scissors,rock,lose,order-2,True,0.0045,1787898714871
196,rock,rock,paper,lose,order-2,True,0.0049,1787898714971
197,paper,paper,rock,win,random,True,0.0059,1787898715071
198,scissors,scissors,rock,lose,order-2,True,0.0043,1787898715171
199,rock,rock,paper,lose,order-2,True,0.0047,1787898715271
200,paper,paper,scissors,lose,order-1,True,0.006,1787898715371
201,scissors,scissors,rock,lose,order-2,True,0.0394,1787898715471
202,rock,rock,paper,lose,order-2,True,0.0073,1787898715571
203,paper,paper,scissors,lose,order-1,True,0.0057,1787898715671
204,scissors,scissors,rock,lose,order-2,True,0.0051,1787898715771
205,rock,rock,paper,lose,order-2,True,0.0049,1787898715871
206,paper,paper,scissors,lose,order-1,True,0.005,1787898715971
207,scissors,scissors,rock,lose,order-2,True,0.0048,1787898716071
208,rock,rock,paper,lose,order-2,True,0.0046,1787898716171
209,paper,paper,scissors,lose,order-1,True,0.0045,1787898716271
210,scissors,scissors,rock,lose,order-2,True,0.0051,1787898716371
211,rock,rock,paper,lose,order-2,True,0.0044,1787898716471
212,paper,paper,scissors,lose,order-1,True,0.0051,1787898716571
213,scissors,scissors,rock,lose,order-2,True,0.0043,1787898716671
214,rock,rock,paper,lose,order-2,True,0.0044,1787898716771
215,paper,paper,scissors,lose,order-1,True,0.0027,1787898716871
216,scissors,scissors,rock,lose,order-2,True,0.0028,1787898716971
217,rock,rock,paper,lose,order-2,True,0.0051,1787898717071
218,paper,paper,scissors,lose,order-1,True,0.0049,1787898717171
219,scissors,scissors,rock,lose,order-2,True,0.0035,1787898717271
220,rock,rock,paper,lose,order-2,True,0.0031,1787898717371
221,paper,paper,scissors,lose,order-1,True,0.003,1787898717471
222,scissors,scissors,rock,lose,order-2,True,0.0029,1787898717571
223,rock,rock,paper,lose,order-2,True,0.0027,1787898717672
224,paper,paper,scissors,lose,order-1,True,0.0027,1787898717772
225,scissors,scissors,rock,lose,order-2,True,0.003,1787898717872
226,rock,rock,paper,lose,order-2,True,0.0029,1787898717972
227,paper,paper,scissors,lose,order-1,True,0.003,1787898718072
228,scissors,scissors,rock,lose,order-2,True,0.0027,1787898718172
229,rock,rock,paper,lose,order-2,True,0.0026,1787898718272
230,paper,paper,scissors,lose,order-1,True,0.0027,1787898718372
231,scissors,scissors,rock,lose,order-2,True,0.0026,1787898718472
232,rock,rock,rock,tie,random,True,0.0042,1787898718572
233,paper,paper,scissors,lose,order-1,True,0.0029,1787898718672
234,scissors,scissors,rock,lose,order-2,True,0.0031,1787898718772
235,rock,rock,paper,lose,order-2,True,0.0028,1787898718872
236,paper,paper,scissors,lose,order-1,True,0.0031,1787898718972
237,scissors,scissors,rock,lose,order-2,True,0.0032,1787898719072
238,rock,rock,paper,lose,order-2,True,0.0027,1787898719172
239,paper,paper,scissors,lose,order-1,True,0.0027,1787898719272
240,scissors,scissors,rock,lose,order-2,True,0.0028,1787898719372
241,rock,rock,paper,lose,random,True,0.0031,1787898719472
242,paper,paper,scissors,lose,order-1,True,0.0027,1787898719572
