roundNumber,opponentMove,predictedMove,botMove,result,modelUsed,predictionCorrect,decisionLatencyMs,timestamp
1,rock,rock,scissors,win,cold-start,True,0.0052,1787898695434
2,rock,rock,rock,tie,cold-start,True,0.0078,1787898695534
3,rock,rock,scissors,win,cold-start,True,0.0035,1787898695634
4,rock,rock,rock,tie,cold-start,True,0.004,1787898695734
5,rock,rock,scissors,win,cold-start,True,0.0031,1787898695834
6,rock,rock,paper,lose,cold-start,True,0.0029,1787898695934
7,rock,rock,paper,lose,cold-start,True,0.0027,1787898696034
8,rock,rock,scissors,win,cold-start,True,0.0027,1787898696134
9,rock,rock,scissors,win,cold-start,True,0.0028,1787898696234
10,rock,rock,scissors,win,cold-start,True,0.0029,1787898696334
11,rock,rock,scissors,win,random,True,0.0031,1787898696434
12,rock,rock,paper,lose,order-1,True,0.0032,1787898696534
13,rock,rock,paper,lose,order-1,True,0.0026,1787898696634
14,rock,rock,paper,lose,order-1,True,0.0026,1787898696734
15,rock,rock,paper,lose,order-1,True,0.0025,1787898696834
16,rock,rock,paper,lose,order-1,True,0.0031,1787898696934
17,rock,rock,paper,lose,order-1,True,0.0026,1787898697034
18,rock,rock,paper,lose,order-1,True,0.0027,1787898697134
19,rock,rock,paper,lose,order-1,True,0.0049,1787898697234
20,rock,rock,paper,lose,order-1,True,0.0042,1787898697334
21,rock,rock,paper,lose,order-1,True,0.0043,1787898697434
22,rock,rock,paper,lose,order-1,True,0.0045,1787898697534
23,rock,rock,paper,lose,order-1,True,0.0029,1787898697634
24,rock,rock,paper,lose,order-1,True,0.0029,1787898697734
25,rock,rock,paper,lose,order-1,True,0.0027,1787898697834
26,rock,rock,paper,lose,order-1,True,0.0027,1787898697934
27,rock,rock,paper,lose,order-1,True,0.0026,1787898698034
28,rock,rock,paper,lose,order-1,True,0.0026,1787898698134
29,rock,rock,paper,lose,order-1,True,0.0026,1787898698234
30,rock,rock,paper,lose,order-1,True,0.0026,1787898698334
31,rock,rock,paper,lose,order-1,True,0.0027,1787898698434
32,rock,rock,paper,lose,random,True,0.0049,1787898698534
33,rock,rock,paper,lose,order-1,True,0.0047,1787898698634
34,rock,rock,paper,lose,order-1,True,0.0027,1787898698734
35,rock,rock,paper,lose,order-1,True,0.0045,1787898698834
36,rock,rock,paper,lose,order-1,True,0.0036,1787898698934
37,rock,rock,paper,lose,random,True,0.0028,1787898699034
38,rock,rock,paper,lose,order-1,True,0.0027,1787898699134
39,rock,rock,paper,lose,order-1,True,0.0027,1787898699234
40,rock,rock,paper,lose,order-1,True,0.0044,1787898699334
41,rock,rock,paper,lose,order-1,True,0.0046,1787898699434
42,rock,rock,paper,lose,order-1,True,0.0028,1787898699534
43,rock,rock,paper,lose,order-1,True,0.0044,1787898699634
44,rock,rock,paper,lose,order-1,True,0.0038,1787898699734
45,rock,rock,paper,lose,order-1,True,0.0027,1787898699835
46,rock,rock,rock,tie,random,True,0.0028,1787898699935
47,rock,rock,paper,lose,order-1,True,0.0027,1787898700035
48,rock,rock,paper,lose,order-1,True,0.0026,1787898700135
49,rock,rock,paper,lose,order-1,True,0.0028,1787898700235
50,rock,rock,paper,lose,order-1,True,0.0027,1787898700335
51,rock,rock,paper,lose,order-1,True,0.0028,1787898700435
52,rock,rock,paper,lose,order-1,True,0.0026,1787898700535
53,rock,rock,rock,tie,random,True,0.0029,1787898700635
54,rock,rock,paper,lose,order-1,True,0.0026,1787898700735
55,rock,rock,paper,lose,order-1,True,0.0026,1787898700835
56,rock,rock,paper,lose,order-1,True,0.0026,1787898700935
57,rock,rock,scissors,win,random,True,0.0027,1787898701035
58,rock,rock,paper,lose,order-1,True,0.0026,1787898701135
59,rock,rock,paper,lose,order-1,True,0.0043,1787898701235
60,rock,rock,paper,lose,order-1,True,0.0047,1787898701335
61,rock,rock,paper,lose,order-1,True,0.0028,1787898701435
62,rock,rock,paper,lose,order-1,True,0.0026,1787898701535
63,rock,rock,paper,lose,order-1,True,0.0026,1787898701635
