Round,OpponentMove,PredictedMove,BotMove,Result,ModelUsed,PredictionCorrect,DecisionLatencyMs,Timestamp
1,paper,rock,scissors,lose,cold-start,false,0.099,2026-09-03T15:40:55.413Z
2,scissors,rock,paper,win,cold-start,false,0.060,2026-09-03T15:40:55.413Z
3,scissors,rock,scissors,tie,cold-start,false,0.014,2026-09-03T15:40:55.413Z
4,scissors,scissors,paper,win,cold-start,true,0.019,2026-09-03T15:40:55.413Z
5,scissors,scissors,scissors,tie,cold-start,true,0.010,2026-09-03T15:40:55.413Z
6,rock,scissors,paper,lose,cold-start,false,0.010,2026-09-03T15:40:55.413Z
7,scissors,rock,scissors,tie,cold-start,false,0.010,2026-09-03T15:40:55.413Z
8,scissors,scissors,scissors,tie,cold-start,true,0.010,2026-09-03T15:40:55.413Z
9,rock,scissors,rock,tie,cold-start,false,0.010,2026-09-03T15:40:55.413Z
10,scissors,scissors,paper,win,cold-start,true,0.010,2026-09-03T15:40:55.413Z
11,paper,scissors,rock,win,order-1,false,0.023,2026-09-03T15:40:55.413Z
12,rock,scissors,rock,tie,order-1,false,0.010,2026-09-03T15:40:55.414Z
13,rock,scissors,rock,tie,order-1,false,0.010,2026-09-03T15:40:55.414Z
14,rock,scissors,paper,lose,random,false,0.010,2026-09-03T15:40:55.414Z
15,rock,rock,paper,lose,order-2,true,0.010,2026-09-03T15:40:55.414Z
16,rock,rock,paper,lose,order-2,true,0.010,2026-09-03T15:40:55.414Z
17,paper,rock,paper,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
18,paper,rock,paper,tie,order-1,false,0.010,2026-09-03T15:40:55.414Z
19,rock,paper,scissors,win,order-1,false,0.010,2026-09-03T15:40:55.414Z
20,scissors,rock,paper,win,order-2,false,0.010,2026-09-03T15:40:55.414Z
21,scissors,paper,scissors,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
22,rock,rock,paper,lose,order-2,true,0.010,2026-09-03T15:40:55.414Z
23,scissors,scissors,rock,lose,order-2,true,0.017,2026-09-03T15:40:55.414Z
24,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
25,scissors,scissors,scissors,tie,random,true,0.010,2026-09-03T15:40:55.414Z
26,paper,scissors,scissors,lose,random,false,0.010,2026-09-03T15:40:55.414Z
27,paper,rock,paper,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
28,paper,rock,paper,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
29,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.414Z
30,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.414Z
31,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.414Z
32,rock,paper,scissors,win,order-2,false,0.010,2026-09-03T15:40:55.414Z
33,scissors,scissors,rock,lose,order-2,true,0.010,2026-09-03T15:40:55.414Z
34,rock,paper,scissors,win,order-2,false,0.010,2026-09-03T15:40:55.414Z
35,rock,scissors,rock,tie,random,false,0.010,2026-09-03T15:40:55.414Z
36,rock,rock,paper,lose,order-2,true,0.010,2026-09-03T15:40:55.414Z
37,rock,rock,paper,lose,order-2,true,0.010,2026-09-03T15:40:55.414Z
38,scissors,rock,paper,win,order-2,false,0.010,2026-09-03T15:40:55.414Z
39,rock,rock,paper,lose,order-2,true,0.010,2026-09-03T15:40:55.414Z
40,paper,scissors,rock,win,order-2,false,0.010,2026-09-03T15:40:55.414Z
41,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.414Z
42,rock,paper,scissors,win,order-2,false,0.010,2026-09-03T15:40:55.414Z
43,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
44,rock,rock,paper,lose,random,true,0.010,2026-09-03T15:40:55.414Z
45,scissors,rock,paper,win,order-1,false,0.010,2026-09-03T15:40:55.414Z
46,rock,rock,paper,lose,random,true,0.010,2026-09-03T15:40:55.414Z
47,scissors,rock,paper,win,order-1,false,0.010,2026-09-03T15:40:55.414Z
48,scissors,rock,paper,win,order-2,false,0.010,2026-09-03T15:40:55.414Z
49,scissors,rock,paper,win,order-2,false,0.010,2026-09-03T15:40:55.414Z
50,scissors,scissors,paper,win,random,true,0.010,2026-09-03T15:40:55.414Z
51,paper,scissors,rock,win,order-2,false,0.010,2026-09-03T15:40:55.414Z
52,scissors,paper,scissors,tie,order-1,false,0.010,2026-09-03T15:40:55.414Z
53,rock,scissors,rock,tie,order-1,false,0.010,2026-09-03T15:40:55.414Z
54,paper,scissors,rock,win,order-2,false,0.010,2026-09-03T15:40:55.414Z
55,scissors,paper,scissors,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
56,paper,rock,paper,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
57,paper,scissors,rock,win,order-2,false,0.010,2026-09-03T15:40:55.414Z
58,scissors,paper,scissors,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
59,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.414Z
60,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.414Z
61,scissors,scissors,paper,win,random,true,0.010,2026-09-03T15:40:55.414Z
62,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.414Z
63,scissors,paper,scissors,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
64,scissors,paper,scissors,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
65,paper,scissors,rock,win,order-2,false,0.010,2026-09-03T15:40:55.414Z
66,rock,paper,rock,tie,random,false,0.010,2026-09-03T15:40:55.414Z
67,scissors,rock,paper,win,order-2,false,0.010,2026-09-03T15:40:55.414Z
68,scissors,rock,paper,win,order-2,false,0.010,2026-09-03T15:40:55.414Z
69,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.414Z
70,paper,scissors,rock,win,order-1,false,0.010,2026-09-03T15:40:55.414Z
71,paper,scissors,rock,win,order-2,false,0.010,2026-09-03T15:40:55.414Z
72,rock,paper,scissors,win,order-1,false,0.010,2026-09-03T15:40:55.414Z
73,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
74,scissors,rock,paper,win,random,false,0.010,2026-09-03T15:40:55.414Z
75,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
76,rock,scissors,rock,tie,order-1,false,0.010,2026-09-03T15:40:55.414Z
77,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
78,rock,rock,paper,lose,order-1,true,0.010,2026-09-03T15:40:55.414Z
79,paper,rock,rock,win,random,false,0.010,2026-09-03T15:40:55.414Z
80,scissors,paper,scissors,tie,order-1,false,0.010,2026-09-03T15:40:55.414Z
81,scissors,paper,scissors,tie,order-1,false,0.010,2026-09-03T15:40:55.414Z
82,rock,scissors,rock,tie,order-1,false,0.010,2026-09-03T15:40:55.414Z
83,scissors,rock,paper,win,order-1,false,0.010,2026-09-03T15:40:55.414Z
84,scissors,scissors,rock,lose,order-1,true,0.010,2026-09-03T15:40:55.414Z
85,scissors,scissors,rock,lose,order-1,true,0.010,2026-09-03T15:40:55.414Z
86,rock,scissors,rock,tie,order-1,false,0.010,2026-09-03T15:40:55.414Z
87,scissors,rock,paper,win,order-1,false,0.010,2026-09-03T15:40:55.414Z
88,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
89,paper,scissors,rock,win,order-2,false,0.010,2026-09-03T15:40:55.414Z
90,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
91,scissors,scissors,rock,lose,order-1,true,0.010,2026-09-03T15:40:55.414Z
92,rock,rock,paper,lose,order-1,true,0.010,2026-09-03T15:40:55.414Z
93,paper,scissors,paper,tie,random,false,0.010,2026-09-03T15:40:55.414Z
94,rock,rock,paper,lose,order-1,true,0.010,2026-09-03T15:40:55.414Z
95,paper,scissors,rock,win,order-1,false,0.010,2026-09-03T15:40:55.414Z
96,rock,rock,paper,lose,order-1,true,0.010,2026-09-03T15:40:55.414Z
97,rock,paper,scissors,win,order-1,false,0.010,2026-09-03T15:40:55.414Z
98,rock,rock,paper,lose,order-2,true,0.010,2026-09-03T15:40:55.414Z
99,scissors,rock,paper,win,order-2,false,0.010,2026-09-03T15:40:55.414Z
100,paper,rock,paper,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
101,paper,rock,paper,tie,order-1,false,0.010,2026-09-03T15:40:55.414Z
102,rock,rock,paper,lose,order-1,true,0.010,2026-09-03T15:40:55.414Z
103,scissors,rock,paper,win,order-2,false,0.010,2026-09-03T15:40:55.414Z
104,scissors,rock,paper,win,order-2,false,0.010,2026-09-03T15:40:55.414Z
105,scissors,rock,paper,win,order-2,false,0.010,2026-09-03T15:40:55.414Z
106,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
107,rock,paper,scissors,win,order-2,false,0.010,2026-09-03T15:40:55.414Z
108,paper,rock,paper,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
109,rock,rock,paper,lose,order-2,true,0.010,2026-09-03T15:40:55.414Z
110,scissors,scissors,rock,lose,order-2,true,0.010,2026-09-03T15:40:55.414Z
111,paper,scissors,rock,win,order-1,false,0.010,2026-09-03T15:40:55.414Z
112,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.414Z
113,paper,rock,paper,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
114,rock,paper,scissors,win,order-2,false,0.010,2026-09-03T15:40:55.414Z
115,scissors,scissors,rock,lose,order-2,true,0.010,2026-09-03T15:40:55.414Z
116,scissors,paper,scissors,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
117,scissors,rock,paper,win,order-2,false,0.010,2026-09-03T15:40:55.414Z
118,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
119,scissors,scissors,rock,lose,order-1,true,0.010,2026-09-03T15:40:55.414Z
120,paper,scissors,rock,win,order-1,false,0.010,2026-09-03T15:40:55.414Z
121,rock,rock,paper,lose,order-1,true,0.010,2026-09-03T15:40:55.414Z
122,rock,scissors,rock,tie,order-1,false,0.010,2026-09-03T15:40:55.414Z
123,paper,scissors,rock,win,order-1,false,0.010,2026-09-03T15:40:55.414Z
124,paper,rock,paper,tie,order-1,false,0.010,2026-09-03T15:40:55.414Z
125,paper,rock,paper,tie,order-1,false,0.010,2026-09-03T15:40:55.414Z
126,paper,paper,rock,win,random,true,0.010,2026-09-03T15:40:55.414Z
127,rock,paper,scissors,win,random,false,0.324,2026-09-03T15:40:55.414Z
128,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
129,scissors,paper,scissors,tie,order-2,false,0.010,2026-09-03T15:40:55.414Z
130,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.414Z
131,rock,paper,scissors,win,order-1,false,0.010,2026-09-03T15:40:55.415Z
132,scissors,rock,paper,win,order-2,false,0.010,2026-09-03T15:40:55.415Z
133,scissors,paper,scissors,tie,order-1,false,0.010,2026-09-03T15:40:55.415Z
134,paper,scissors,rock,win,order-1,false,0.010,2026-09-03T15:40:55.415Z
135,scissors,rock,paper,win,order-1,false,0.010,2026-09-03T15:40:55.415Z
136,paper,paper,paper,tie,random,true,0.010,2026-09-03T15:40:55.415Z
137,rock,rock,paper,lose,order-1,true,0.010,2026-09-03T15:40:55.415Z
138,scissors,scissors,rock,lose,order-2,true,0.010,2026-09-03T15:40:55.415Z
139,rock,paper,scissors,win,order-1,false,0.010,2026-09-03T15:40:55.415Z
140,paper,scissors,rock,win,order-1,false,0.010,2026-09-03T15:40:55.415Z
141,rock,rock,paper,lose,order-1,true,0.010,2026-09-03T15:40:55.415Z
142,rock,scissors,paper,lose,random,false,0.010,2026-09-03T15:40:55.415Z
143,paper,scissors,rock,win,order-2,false,0.010,2026-09-03T15:40:55.415Z
144,scissors,rock,paper,win,order-2,false,0.010,2026-09-03T15:40:55.415Z
145,scissors,paper,scissors,tie,order-2,false,0.010,2026-09-03T15:40:55.415Z
146,rock,paper,scissors,win,order-2,false,0.010,2026-09-03T15:40:55.415Z
147,scissors,paper,scissors,tie,order-2,false,0.010,2026-09-03T15:40:55.415Z
148,paper,rock,paper,tie,random,false,0.010,2026-09-03T15:40:55.415Z
149,scissors,rock,paper,win,order-2,false,0.010,2026-09-03T15:40:55.415Z
150,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.415Z
151,rock,scissors,rock,tie,order-1,false,0.010,2026-09-03T15:40:55.415Z
152,paper,scissors,rock,win,order-1,false,0.010,2026-09-03T15:40:55.415Z
153,rock,rock,paper,lose,order-2,true,0.010,2026-09-03T15:40:55.415Z
154,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.415Z
155,scissors,paper,scissors,tie,order-2,false,0.010,2026-09-03T15:40:55.415Z
156,rock,paper,scissors,win,order-2,false,0.010,2026-09-03T15:40:55.415Z
157,paper,rock,paper,tie,order-2,false,0.010,2026-09-03T15:40:55.415Z
158,paper,rock,paper,tie,order-2,false,0.010,2026-09-03T15:40:55.415Z
159,scissors,paper,scissors,tie,order-2,false,0.010,2026-09-03T15:40:55.415Z
160,paper,rock,paper,tie,order-1,false,0.010,2026-09-03T15:40:55.415Z
161,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.415Z
162,paper,rock,paper,tie,order-2,false,0.010,2026-09-03T15:40:55.415Z
163,rock,rock,paper,lose,order-1,true,0.010,2026-09-03T15:40:55.415Z
164,rock,paper,scissors,win,order-1,false,0.010,2026-09-03T15:40:55.415Z
165,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.415Z
166,paper,rock,paper,tie,order-2,false,0.010,2026-09-03T15:40:55.415Z
167,rock,scissors,rock,tie,order-2,false,0.010,2026-09-03T15:40:55.415Z
168,rock,rock,paper,lose,order-2,true,0.010,2026-09-03T15:40:55.415Z
169,rock,paper,scissors,win,order-2,false,0.010,2026-09-03T15:40:55.415Z
170,paper,rock,paper,tie,order-1,false,0.010,2026-09-03T15:40:55.415Z
171,paper,rock,paper,tie,order-1,false,0.010,2026-09-03T15:40:55.415Z
172,paper,rock,paper,tie,order-2,false,0.010,2026-09-03T15:40:55.415Z
173,paper,paper,scissors,lose,order-1,true,0.010,2026-09-03T15:40:55.415Z
174,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.415Z
175,paper,paper,scissors,lose,order-2,true,0.010,2026-09-03T15:40:55.415Z
176,rock,paper,scissors,win,order-2,false,0.010,2026-09-03T15:40:55.415Z
177,rock,rock,paper,lose,order-2,true,0.010,2026-09-03T15:40:55.415Z
178,paper,paper,scissors,lose,order-2,true,0.015,2026-09-03T15:40:55.415Z
179,rock,paper,scissors,win,order-2,false,0.010,2026-09-03T15:40:55.415Z
180,paper,rock,scissors,lose,random,false,0.010,2026-09-03T15:40:55.415Z
181,paper,rock,paper,tie,order-2,false,0.010,2026-09-03T15:40:55.415Z
