roundNumber,opponentMove,predictedMove,botMove,result,modelUsed,predictionCorrect,decisionLatencyMs,timestamp
1,paper,scissors,paper,tie,cold-start,False,0.005,1787898695499
2,scissors,rock,scissors,tie,cold-start,False,0.0153,1787898695599
3,rock,rock,scissors,win,cold-start,True,0.009,1787898695699
4,rock,rock,scissors,win,cold-start,True,0.005,1787898695799
5,rock,rock,rock,tie,cold-start,True,0.0036,1787898695899
6,paper,rock,paper,tie,cold-start,False,0.0051,1787898695999
7,scissors,scissors,scissors,tie,cold-start,True,0.0034,1787898696099
8,rock,rock,paper,lose,cold-start,True,0.0062,1787898696199
9,paper,rock,rock,win,cold-start,False,0.0048,1787898696299
10,paper,scissors,scissors,lose,cold-start,False,0.0055,1787898696399
11,scissors,scissors,rock,lose,order-1,True,0.0038,1787898696499
12,rock,rock,paper,lose,order-1,True,0.0046,1787898696599
13,paper,paper,rock,win,random,True,0.0083,1787898696699
14,paper,scissors,rock,win,order-1,False,0.0048,1787898696799
15,paper,scissors,rock,win,order-2,False,0.0054,1787898696899
16,paper,paper,scissors,lose,order-1,True,0.004,1787898696999
17,scissors,paper,scissors,tie,order-2,False,0.005,1787898697099
18,rock,rock,paper,lose,order-2,True,0.005,1787898697199
19,paper,paper,scissors,lose,order-2,True,0.0048,1787898697299
20,scissors,paper,rock,lose,random,False,0.0072,1787898697400
21,rock,rock,paper,lose,order-2,True,0.0045,1787898697500
22,paper,paper,scissors,lose,order-2,True,0.0046,1787898697600
23,scissors,scissors,rock,lose,order-1,True,0.0048,1787898697700
24,rock,rock,paper,lose,order-2,True,0.0046,1787898697800
25,paper,paper,scissors,lose,order-2,True,0.0047,1787898697900
26,scissors,scissors,rock,lose,order-2,True,0.0039,1787898698000
27,rock,rock,paper,lose,order-2,True,0.0047,1787898698100
28,paper,paper,scissors,lose,order-2,True,0.0044,1787898698200
29,scissors,scissors,rock,lose,order-2,True,0.0046,1787898698300
30,rock,rock,paper,lose,order-2,True,0.0048,1787898698400
31,paper,paper,scissors,lose,order-2,True,0.0037,1787898698500
32,scissors,scissors,rock,lose,order-2,True,0.0046,1787898698600
33,rock,rock,paper,lose,order-2,True,0.0043,1787898698700
34,paper,paper,scissors,lose,order-2,True,0.0048,1787898698800
35,scissors,scissors,rock,lose,order-2,True,0.0046,1787898698900
36,rock,rock,paper,lose,order-2,True,0.0044,1787898699000
37,paper,paper,scissors,lose,order-2,True,0.0045,1787898699100
38,scissors,scissors,rock,lose,order-2,True,0.0041,1787898699200
39,rock,rock,paper,lose,order-2,True,0.0042,1787898699300
40,paper,paper,scissors,lose,order-2,True,0.0045,1787898699400
41,scissors,scissors,rock,lose,order-2,True,0.0039,1787898699500
42,rock,rock,paper,lose,order-2,True,0.0041,1787898699600
43,paper,paper,paper,tie,random,True,0.0051,1787898699700
44,scissors,scissors,rock,lose,order-2,True,0.005,1787898699800
45,rock,rock,paper,lose,order-2,True,0.0045,1787898699900
46,paper,paper,scissors,lose,order-2,True,0.0028,1787898700000
47,scissors,scissors,rock,lose,order-2,True,0.003,1787898700100
48,rock,rock,paper,lose,order-2,True,0.0027,1787898700200
49,paper,paper,scissors,lose,order-2,True,0.0029,1787898700300
50,scissors,scissors,rock,lose,order-2,True,0.0028,1787898700400
51,rock,rock,paper,lose,order-2,True,0.0027,1787898700500
52,paper,paper,paper,tie,random,True,0.0036,1787898700600
53,scissors,scissors,rock,lose,order-2,True,0.0031,1787898700700
54,rock,rock,paper,lose,order-2,True,0.0029,1787898700800
55,paper,paper,scissors,lose,order-2,True,0.0049,1787898700900
56,scissors,scissors,rock,lose,order-2,True,0.0062,1787898701000
57,rock,rock,paper,lose,order-2,True,0.005,1787898701100
58,paper,paper,scissors,lose,order-2,True,0.0042,1787898701200
59,scissors,scissors,rock,lose,order-2,True,0.0049,1787898701300
60,rock,rock,paper,lose,order-2,True,0.005,1787898701400
61,paper,paper,scissors,lose,order-2,True,0.0029,1787898701500
62,scissors,scissors,rock,lose,order-2,True,0.0032,1787898701600
63,rock,rock,paper,lose,order-2,True,0.0029,1787898701700
64,paper,paper,scissors,lose,order-2,True,0.0055,1787898701800
65,scissors,scissors,rock,lose,order-2,True,0.0047,1787898701900
66,rock,rock,paper,lose,order-2,True,0.005,1787898702000
67,paper,paper,scissors,lose,order-2,True,0.0046,1787898702100
68,scissors,scissors,rock,lose,order-2,True,0.0046,1787898702200
69,rock,rock,rock,tie,random,True,0.006,1787898702300
70,paper,paper,scissors,lose,order-2,True,0.0042,1787898702400
71,scissors,scissors,rock,lose,order-2,True,0.0104,1787898702500
72,rock,rock,paper,lose,order-2,True,0.0046,1787898702600
73,paper,paper,scissors,lose,order-2,True,0.0044,1787898702700
74,scissors,scissors,rock,lose,order-2,True,0.005,1787898702800
75,rock,rock,paper,lose,order-2,True,0.0046,1787898702900
76,paper,paper,scissors,lose,order-2,True,0.0044,1787898703000
77,scissors,scissors,rock,lose,order-2,True,0.0046,1787898703100
78,rock,rock,paper,lose,order-2,True,0.005,1787898703200
79,paper,paper,scissors,lose,order-2,True,0.0051,1787898703300
80,scissors,scissors,rock,lose,order-2,True,0.0043,1787898703400
81,rock,rock,paper,lose,order-2,True,0.0041,1787898703500
82,paper,paper,scissors,lose,order-2,True,0.004,1787898703600
83,scissors,scissors,rock,lose,order-2,True,0.0046,1787898703700
84,rock,rock,paper,lose,order-2,True,0.0041,1787898703800
85,paper,paper,scissors,lose,order-2,True,0.0044,1787898703901
86,scissors,scissors,rock,lose,order-2,True,0.0045,1787898704001
87,rock,rock,paper,lose,order-2,True,0.0045,1787898704101
88,paper,paper,scissors,lose,order-2,True,0.0046,1787898704201
89,scissors,scissors,rock,lose,order-2,True,0.0042,1787898704301
90,rock,rock,paper,lose,order-2,True,0.0041,1787898704401
91,paper,paper,scissors,lose,order-2,True,0.0045,1787898704501
92,scissors,scissors,rock,lose,order-2,True,0.0039,1787898704601
93,rock,rock,paper,lose,order-2,True,0.0046,1787898704701
94,paper,paper,scissors,lose,order-2,True,0.0044,1787898704801
95,scissors,scissors,rock,lose,order-2,True,0.0055,1787898704901
96,rock,rock,paper,lose,order-2,True,0.005,1787898705001
97,paper,paper,scissors,lose,order-2,True,0.0046,1787898705101
98,scissors,scissors,rock,lose,order-2,True,0.0051,1787898705201
99,rock,rock,paper,lose,order-2,True,0.0044,1787898705301
100,paper,paper,scissors,lose,order-2,True,0.0048,1787898705401
101,scissors,scissors,rock,lose,order-2,True,0.0128,1787898705501
102,rock,rock,paper,lose,order-2,True,0.0044,1787898705601
103,paper,paper,scissors,lose,order-2,True,0.0048,1787898705701
104,scissors,scissors,rock,lose,order-2,True,0.0045,1787898705801
105,rock,rock,paper,lose,order-2,True,0.0045,1787898705901
106,paper,paper,scissors,lose,order-2,True,0.0046,1787898706001
107,scissors,scissors,rock,lose,order-2,True,0.0046,1787898706101
108,rock,rock,paper,lose,order-2,True,0.0043,1787898706201
109,paper,paper,scissors,lose,order-2,True,0.0046,1787898706301
110,scissors,scissors,rock,lose,order-2,True,0.0043,1787898706401
111,rock,rock,paper,lose,order-2,True,0.0045,1787898706501
112,paper,paper,scissors,lose,order-2,True,0.0048,1787898706601
113,scissors,scissors,rock,lose,order-2,True,0.0044,1787898706701
114,rock,rock,paper,lose,order-2,True,0.005,1787898706801
115,paper,paper,scissors,lose,order-2,True,0.0042,1787898706901
116,scissors,scissors,rock,lose,order-2,True,0.0049,1787898707001
117,rock,rock,paper,lose,order-2,True,0.0045,1787898707101
118,paper,paper,scissors,lose,order-2,True,0.005,1787898707201
119,scissors,scissors,rock,lose,order-2,True,0.0047,1787898707301
120,rock,rock,paper,lose,order-2,True,0.0048,1787898707401
121,paper,paper,paper,tie,random,True,0.0071,1787898707501
122,scissors,scissors,rock,lose,order-2,True,0.0057,1787898707601
123,rock,rock,paper,lose,order-2,True,0.005,1787898707701
124,paper,paper,scissors,lose,order-2,True,0.0053,1787898707801
125,scissors,scissors,rock,lose,order-2,True,0.0045,1787898707901
126,rock,rock,paper,lose,order-2,True,0.0053,1787898708001
127,paper,paper,scissors,lose,order-2,True,0.0057,1787898708101
128,scissors,scissors,rock,lose,order-2,True,0.0051,1787898708201
129,rock,rock,paper,lose,order-2,True,0.0046,1787898708301
130,paper,paper,scissors,lose,order-2,True,0.0032,1787898708401
131,scissors,scissors,rock,lose,order-2,True,0.003,1787898708501
132,rock,rock,paper,lose,order-2,True,0.0034,1787898708601
133,paper,paper,scissors,lose,order-2,True,0.0029,1787898708701
134,scissors,scissors,rock,lose,order-2,True,0.0031,1787898708801
135,rock,rock,paper,lose,order-2,True,0.0031,1787898708901
136,paper,paper,scissors,lose,order-2,True,0.0034,1787898709001
137,scissors,scissors,rock,lose,order-2,True,0.0036,1787898709101
138,rock,rock,paper,lose,order-2,True,0.0032,1787898709201
139,paper,paper,scissors,lose,order-2,True,0.0029,1787898709301
140,scissors,scissors,rock,lose,order-2,True,0.0028,1787898709401
141,rock,rock,paper,lose,order-2,True,0.003,1787898709501
142,paper,paper,scissors,lose,order-2,True,0.0027,1787898709601
143,scissors,scissors,rock,lose,order-2,True,0.0028,1787898709701
144,rock,rock,paper,lose,order-2,True,0.0046,1787898709801
145,paper,paper,scissors,lose,order-2,True,0.0056,1787898709901
146,scissors,scissors,rock,lose,order-2,True,0.0052,1787898710001
147,rock,rock,paper,lose,order-2,True,0.0052,1787898710101
148,paper,paper,scissors,lose,order-2,True,0.0047,1787898710201
149,scissors,scissors,rock,lose,order-2,True,0.0032,1787898710301
150,rock,rock,paper,lose,random,True,0.0044,1787898710401
151,paper,paper,scissors,lose,order-2,True,0.003,1787898710502
152,scissors,scissors,rock,lose,order-2,True,0.003,1787898710602
153,rock,rock,paper,lose,order-2,True,0.0045,1787898710702
154,paper,paper,scissors,lose,order-2,True,0.005,1787898710802
155,scissors,scissors,rock,lose,order-2,True,0.0052,1787898710902
156,rock,rock,paper,lose,order-2,True,0.0027,1787898711002
157,paper,paper,scissors,lose,order-2,True,0.0031,1787898711102
158,scissors,scissors,rock,lose,order-2,True,0.0028,1787898711202
159,rock,rock,paper,lose,order-2,True,0.0027,1787898711302
160,paper,paper,scissors,lose,order-2,True,0.0027,1787898711402
161,scissors,scissors,rock,lose,order-2,True,0.0027,1787898711502
162,rock,rock,paper,lose,order-2,True,0.0028,1787898711602
163,paper,paper,scissors,lose,order-2,True,0.003,1787898711702
164,scissors,scissors,rock,lose,order-2,True,0.0029,1787898711802
165,rock,rock,paper,lose,order-2,True,0.0027,1787898711902
166,paper,paper,scissors,lose,order-2,True,0.003,1787898712002
167,scissors,scissors,rock,lose,order-2,True,0.0028,1787898712102
168,rock,rock,paper,lose,order-2,True,0.0027,1787898712202
169,paper,paper,scissors,lose,order-2,True,0.0045,1787898712302
170,scissors,scissors,rock,lose,order-2,True,0.0049,1787898712402
171,rock,rock,paper,lose,order-2,True,0.0048,1787898712502
172,paper,paper,scissors,lose,order-2,True,0.0051,1787898712602
173,scissors,scissors,rock,lose,order-2,True,0.0046,1787898712702
174,rock,rock,paper,lose,order-2,True,0.0048,1787898712802
175,paper,paper,scissors,lose,order-2,True,0.005,1787898712902
176,scissors,scissors,rock,lose,order-2,True,0.0029,1787898713002
177,rock,rock,paper,lose,order-2,True,0.003,1787898713102
178,paper,paper,scissors,lose,order-2,True,0.003,1787898713202
179,scissors,scissors,rock,lose,order-2,True,0.003,1787898713302
180,rock,rock,paper,lose,order-2,True,0.0028,1787898713402
181,paper,paper,scissors,lose,order-2,True,0.0029,1787898713502
182,scissors,scissors,rock,lose,order-2,True,0.0028,1787898713602
183,rock,rock,paper,lose,order-2,True,0.0035,1787898713702
184,paper,paper,scissors,lose,order-2,True,0.0027,1787898713802
185,scissors,scissors,paper,win,random,True,0.0048,1787898713902
186,scissors,rock,paper,win,order-2,False,0.0028,1787898714002
187,scissors,rock,paper,win,order-1,False,0.0021,1787898714102
188,scissors,scissors,rock,lose,order-2,True,0.0034,1787898714202
189,rock,scissors,rock,tie,order-2,False,0.0026,1787898714302
190,paper,paper,scissors,lose,order-2,True,0.003,1787898714402
191,scissors,scissors,rock,lose,random,True,0.0031,1787898714502
192,rock,rock,paper,lose,order-2,True,0.0028,1787898714602
193,paper,paper,scissors,lose,order-2,True,0.0028,1787898714702
194,scissors,scissors,rock,lose,order-2,True,0.0029,1787898714802
195,rock,rock,paper,lose,order-2,True,0.0027,1787898714902
196,paper,paper,scissors,lose,order-2,True,0.0034,1787898715002
197,scissors,scissors,rock,lose,order-2,True,0.0047,1787898715102
198,rock,rock,paper,lose,order-2,True,0.0031,1787898715202
199,paper,paper,scissors,lose,order-2,True,0.0027,1787898715302
200,scissors,scissors,rock,lose,order-2,True,0.0028,1787898715402
201,rock,rock,paper,lose,order-2,True,0.0029,1787898715502
202,paper,paper,scissors,lose,order-2,True,0.0047,1787898715602
203,scissors,scissors,rock,lose,order-2,True,0.003,1787898715702
204,rock,rock,paper,lose,order-2,True,0.0028,1787898715802
205,paper,paper,scissors,lose,order-2,True,0.0031,1787898715902
206,scissors,scissors,paper,win,random,True,0.0033,1787898716002
207,scissors,rock,paper,win,order-2,False,0.0028,1787898716102
208,scissors,rock,paper,win,order-1,False,0.0029,1787898716202
209,scissors,scissors,rock,lose,order-2,True,0.0028,1787898716302
210,rock,scissors,rock,tie,order-2,False,0.0033,1787898716402
211,paper,paper,scissors,lose,order-2,True,0.0034,1787898716502
212,scissors,scissors,rock,lose,order-2,True,0.0043,1787898716602
213,rock,rock,paper,lose,order-2,True,0.0039,1787898716702
214,paper,paper,scissors,lose,order-2,True,0.0046,1787898716802
215,scissors,scissors,rock,lose,order-2,True,0.0053,1787898716902
